Language Pair,Model,Average BLEU Teacher-CoT-Translation,Average BLEU Direct Translation,Average BLEU Self-CoT-Translation
fr-en,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,35.47223382182049,25.22490508105643,20.119275706418694
en-es,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,3.681246292183481,2.888469011732764,2.436112506475415
fr-en,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,31.248173763284704,6.843925099840108,7.740628273360177
fr-en,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30.325791107506234,29.36583729310102,32.99242479190606
es-en,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30.84381313049237,3.412208368397889,9.944890631534554
es-en,Qwen/Qwen3-8B,36.39641801592326,35.37053772518197,0.0
es-en,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,40.37721808374009,28.66304307112885,31.549780664998583
es-en,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,36.40674290025129,23.51438923163207,22.74786199692197
en-es,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5.245473960199722,4.183732388449667,4.765791363591226
en-es,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3.2591615872403112,3.9543173891775534,5.424788945882513
fr-en,Qwen/Qwen3-8B,34.713007275246625,34.42403945901073,32.03222117360191
en-es,Qwen/Qwen3-8B,3.4464246126450595,3.0838070627198757,0.0
